id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cloud-plus-008","2","Y","","1.9","Y","vpc","vpc","","","40","","4","Users report that an internal application is unreachable from one virtual networ"
"cloud-plus-012","2","Y","","1.57","Y","egress","egress","","","26","","4","A regulator requires that cardholder data and analytics workloads run on segrega"
"cloud-plus-005","1","Y","","1.71","","","","","","24","","4","An auditor asks how the cloud provider's responsibility for security boundaries "
"cloud-plus-011","1","Y","","1.66","","","","","","27","","4","After a recent deployment, a microservice's latency P95 has tripled but error ra"
"cloud-plus-001","1","Y","","1.48","","","","","","29","","4","A cloud architect designs a customer-facing web tier that must survive the loss "
"cloud-plus-006","1","Y","","1.35","","","","","","32","","4","A security engineer wants developers to retrieve database credentials at runtime"
"cloud-plus-009","1","Y","","1.33","","","","","","30","","4","A FinOps lead wants to cut steady-state compute spend on workloads that run 24x7"
"cloud-plus-010","1","","","1.17","Y","object","object","","","32","","4","A team must guarantee that read-only audit logs in object storage cannot be alte"
"cloud-plus-002","0","","","1.14","","","","","","25","","4","A SaaS provider must minimise its Recovery Point Objective (RPO) for an OLTP dat"
"cloud-plus-003","0","","","1.14","","","","","","26","","4","An operations team wants every production environment built identically, fully v"
"cloud-plus-007","0","","","1.13","","","","","","32","","4","An ops engineer is reviewing a web tier whose CPU is spiking to 100 percent ever"
"cloud-plus-004","0","","","1.11","","","","","","28","","4","A DevOps engineer must move a stateful application that bundles its database, me"
