id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"az800-008","2","Y","1.57","Y","business","business","","53","","4","You must centrally deploy Windows Hello for Business in Hybrid Key Trust mode on"
"az800-007","2","Y","1.26","Y","scope","scope","","49","","4","Two DHCP servers must service the same IPv4 scope. If either server fails, the s"
"az800-009","1","Y","1.17","","","","","60","","4","On a Windows Server container host you must run two containers side by side. Con"
"az800-001","1","","1.09","Y","schema","schema|naming","","54","","4","After demoting the only domain controller that held the schema master and the do"
"az800-010","0","","1.11","","","","","64","","4","You must protect a 6 TB SQL Server LUN against the loss of the primary site by p"
"az800-012","0","","1.1","","","","","72","","4","Branch offices each host an SMB file server with 8 TB of frequently accessed sha"
"az800-002","0","","1","","","","","60","","4","You need to project an on-premises Windows Server 2022 host into Azure so that y"
"az800-005","0","","0.92","","","","","52","","4","You are designing software-defined storage on four Windows Server Datacenter nod"
"az800-006","0","","0.91","","","","","55","","4","Your contoso.com DNS server must resolve names in the partner zone fabrikam.com "
"az800-011","0","","0.85","","","","","59","","4","You must synchronise identities from one Active Directory forest to Microsoft En"
"az800-004","0","","0.41","","","","","55","","3","You need a single browser-based console to manage dozens of on-premises, Azure I"
"az800-003","0","","0.37","","","","","40","","4","On a standalone Hyper-V host you want virtual machines to communicate with each "
