id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"ai900-005","1","","1.11","Y","privacy","privacy|accountability|six|guiding","","43","","3","Microsoft publishes six guiding principles for Responsible AI that every team bu"
"ai900-013","1","","1.04","Y","machine","machine|learning","","19","","3","Which Azure Machine Learning feature iterates through algorithms, featurisation "
"ai900-002","1","","1.01","Y","services","services|pre-built|rest|endpoints","","31","","3","A developer wants to add vision, language, speech and decision features to an ap"
"ai900-008","1","","1.01","Y","opinion","opinion","","24","","3","Which feature inside Azure AI Language scores the overall opinion in a passage o"
"ai900-018","1","","0.93","Y","search","search|service","","32","","3","Which Azure service is the natural choice to implement knowledge mining: indexin"
"ai900-012","1","","0.91","Y","portal","portal","","30","","3","You want to train an image classifier from a small set of labelled photos using "
"ai900-017","1","","0.89","Y","content","content","","25","","3","Which Azure AI service offers content filters that flag hate, violence, self-har"
"ai900-015","1","","0.83","Y","openai","openai","","26","","3","An enterprise wants to use OpenAI GPT models inside Azure with regional hosting,"
"ai900-010","0","","1.05","","","","","29","","4","Your team wants to build a chatbot that answers user questions from an existing "
"ai900-020","0","","0.99","","","","","21","","4","On a strongly imbalanced binary-classification problem such as credit-card fraud"
"ai900-001","0","","0.98","","","","","34","","3","Your team needs a single managed Azure workspace that lets data scientists train"
"ai900-016","0","","0.97","","","","","30","","3","Which pattern grounds a generative AI model in current private knowledge by fetc"
"ai900-007","0","","0.95","","","","","30","","3","Your finance team needs to pull structured fields, tables and key-value pairs ou"
"ai900-006","0","","0.94","","","","","33","","3","Your application needs to detect human faces in images and analyse attributes su"
"ai900-003","0","","0.92","","","","","25","","3","Which type of machine learning is used to predict a continuous numeric value, su"
"ai900-019","0","","0.92","","","","","21","","3","A model scores very high on its training data but performs poorly on new, unseen"
"ai900-009","0","","0.9","","","","","20","","3","A call-centre app must transcribe live customer audio into text in real time. Wh"
"ai900-011","0","","0.82","","","","","25","","3","A factory wants to flag unusual spikes in equipment-sensor time-series streams w"
"ai900-004","0","","0.79","","","","","22","","3","An online retailer wants to automatically segment shoppers by purchase behaviour"
"ai900-014","0","","0.72","","","","","24","","3","When a team ships interpretability tooling that explains why a model produced a "
